percobaan,target tetha 1,target tetha 2,target tetha 3,target tetha 4,aktual tetha 1,aktual tetha 2,aktual tetha 3,aktual tetha 4,target pos x,target pos y,target pos z,aktual pos x,aktual pos y,aktual pos z
23,5.2637,0.0,-15.3973,31.111,5.2333,0.0069,-15.6493,31.5735,33.1662,360,0,32.8275,359.7,0.0057
24,3.7587,0.0,-12.0633,24.372,3.7667,0.0069,-12.1644,24.7216,23.9792,365,0,24.3866,364.7764,0.0057
25,0.0,0.0,-7.4441,15.0382,-0.2333,0.0069,-7.2986,15.4589,0.0,370,0,0.3436,369.8515,0.0057
26,-0.0,0.0,-7.4441,15.0382,-0.1667,0.0069,-7.2986,15.1417,-0.0,370,0,-0.0471,369.9638,0.0057
27,-3.7587,0.0,-12.0633,24.372,-3.7667,0.0069,-12.0658,24.066,-23.9792,365,0,-24.8335,365.1124,0.0057
28,-5.2637,0.0,-15.3973,31.111,-5.1333,0.0069,-15.4849,30.643,-33.1662,360,0,-33.9942,360.2521,0.0057
29,-6.3787,0.0,-18.1695,36.7162,-6.1667,0.0069,-17.9178,36.3528,-39.6863,355,0,-38.0454,355.4818,0.0057
30,-7.2815,0.0,-20.6092,41.6509,-7.2,0.0069,-20.4493,41.386,-44.7214,350,0,-44.1124,350.327,0.0057
31,-8.0403,0.0,-22.8248,46.1338,-8.2,0.0069,-22.8822,45.8058,-48.734,345,0,-50.7992,345.0431,0.0057
32,-8.6892,0.0,-24.8775,50.2886,-8.6667,0.0069,-24.8877,49.9296,-51.9615,340,0,-52.775,340.2803,0.0057
33,-9.2476,0.0,-26.8061,54.1938,-9.2,0.0069,-26.8274,53.8631,-54.5436,335,0,-55.1861,335.2962,0.0057
34,-9.7271,0.0,-28.6369,57.9027,-9.7,0.0069,-28.3068,57.3736,-56.5685,330,0,-56.2112,330.7436,0.0057
35,-10.1348,0.0,-30.389,61.4537,-10.1667,0.0069,-30.2795,61.1802,-58.0948,325,0,-58.4542,325.3094,0.0057
36,-10.4744,0.0,-32.0766,64.8757,-10.7,0.0069,-32.2849,64.3946,-59.1608,320,0,-62.4999,320.0543,0.0057
37,-10.7477,0.0,-33.7107,68.191,-10.6667,0.0069,-33.6986,67.884,-59.7913,315,0,-60.0286,315.4161,0.0057
38,-10.9541,0.0,-35.3003,71.4177,-10.7,0.0069,-35.1781,71.035,-60.0,310,0,-59.0137,310.7877,0.0057
39,-11.0914,0.0,-36.8524,74.5704,-11.1667,0.0069,-36.6575,74.2072,-59.7913,305,0,-60.2374,305.5028,0.0057
40,-11.1557,0.0,-38.3732,77.6614,-11.2,0.0069,-38.0712,77.4427,-59.1608,300,0,-58.6771,300.4629,0.0057
41,-11.1408,0.0,-39.8678,80.7014,-11.1667,0.0069,-39.9781,80.3823,-58.0948,295,0,-59.3896,295.2967,0.0057
42,-11.0377,0.0,-41.3407,83.6995,-11.1667,0.0069,-41.063,83.2372,-56.5685,290,0,-57.1823,290.7072,0.0057
43,-10.8343,0.0,-42.7957,86.6639,-10.7,0.0069,-42.4767,86.1767,-54.5436,285,0,-53.7358,286.049,0.0057
44,-10.5132,0.0,-44.2366,89.6021,-10.7,0.0069,-44.4164,89.222,-51.9615,280,0,-54.3564,280.2626,0.0057
45,-10.0493,0.0,-45.6665,92.521,-10.2,0.0069,-45.4685,92.0558,-48.734,275,0,-49.7211,275.7226,0.0057
46,-9.4048,0.0,-47.0885,95.4269,-9.2333,0.0069,-46.9479,95.2068,-44.7214,270,0,-43.8665,270.575,0.0057
47,-8.5173,0.0,-48.5054,98.326,-8.7333,0.0069,-48.3616,98.0617,-39.6863,265,0,-40.7151,265.3771,0.0057
48,-7.2695,0.0,-49.9199,101.2244,-7.2333,0.0069,-49.9397,101.0013,-33.1662,260,0,-33.4875,260.417,0.0057
49,-5.3721,0.0,-51.3348,104.1279,-5.2333,0.0069,-51.4521,103.9408,-23.9792,255,0,-24.0718,255.3818,0.0057
50,-0.0,0.0,-52.7526,107.0427,-0.2333,0.0069,-52.9644,106.7957,-0.0,250,0,-2.0644,250.5142,0.0057
